id,Año,región,region_rec,Línea presupuestaria,Tipo de Entidad receptora,Tipo de institución,Nombre entidad receptora (ejecutora),id_instituciones,Ejecución (miles de $ de cada año),RH
1007,2016,Coquimbo,4,"CORPORACIÓN REGIONAL DESARROLLO PRODUCTIVO-Diagnóstico cultura del agua en zonas áridas, en educación primaria (30413129-0)",CORPORACIÓN ,ONG / Fundación,Corporación Regional de Desarrollo Productivo de Coquimbo (CRDP),70990,75000,si
1017,2015,Coquimbo,4,"CORPORACIÓN REGIONAL DESARROLLO PRODUCTIVO-Diagnóstico cultura del agua en zonas áridas, en educación primaria (30413129-0)                                                                                                                               ",CORPORACIÓN,ONG / Fundación,Corporación Regional de Desarrollo Productivo de Coquimbo (CRDP),70990,37500,si
1018,2014,Coquimbo,4,CORPORACIÓN REGIONAL DESARROLLO PRODUCTIVO-Estudio técnico-económico comparativo de instalación entre una planta desaladora y una planta de reutilización de aguas depuradas.                                                                             ,CORPORACIÓN,ONG / Fundación,Corporación Regional de Desarrollo Productivo de Coquimbo (CRDP),70990,119000,si
1021,2016,Coquimbo,4,CORPORACIÓN REGIONAL DESARROLLO PRODUCTIVO-Investigación soluciones innovadoras para el abastecimiento de agua (30378476-0),CORPORACIÓN ,ONG / Fundación,Corporación Regional de Desarrollo Productivo de Coquimbo (CRDP),70990,40000,si
1040,2012,Arica y Parinacota,15,Prospección Mejoramiento Eficiencia Riego Olivos Azapa.(30110765-0),AGENCIA,Organismo público,Instituto de Investigaciones Agropecuarias (INIA),70989,0,si
1054,2016,Antofagasta,2,CULTIVOS HIDROBIOLOGICOS Y BIOTECNOLOGÍA AGUAMARINA S.A. Transferencia Sist. Biotecnológico Remoción Metales Pesados  - Transferencia (30412847-0),OTROS,Empresa,CULTIVOS HIDROBIOLOGICOS Y BIOTECNOLOGÍA AGUAMARINA S.A.,71004,147630,si
1055,2015,Antofagasta,2,CULTIVOS HIDROBIOLOGICOS Y BIOTECNOLOGÍA AGUAMARINA S.A. Transferencia Sist. Biotecnológico Remoción Metales Pesados  - Transferencia (30412847-0)                                                                                                        ,CORPORACIÓN,Empresa,CULTIVOS HIDROBIOLOGICOS Y BIOTECNOLOGÍA AGUAMARINA S.A.,71004,49210,si
1096,2010,Valparaíso,5,Desarrollo Sistema Prototipo Pronóstico de Agua en Epoca de Deshielo,UNIVERSIDAD,Institución de Educación superior,Universidad Técnica Federico Santa María,240,0,si
1100,2011,Valparaíso,5,"Diagnóstico Cuenca Valle de Casablanca con Tecnología Geoespacial, 2011-2012",UNIVERSIDAD,Institución de Educación superior,Universidad Técnica Federico Santa María,240,120770,si
1139,2012,Los Ríos,10,Diagnóstico Puesta en Valor del Río Bueno y Humedales (30127398-0),CENTRO I+D,Organismo público,Agencia Regional de Desarrollo Productivo (ARDP),71003,8033,si
