ID_investigadores,Nombre,A1,A2,N_pub_autor_principal,N_pub_total,Ratio,Proyecto,género,ofos,fos,fos_rec,tipo_inv,area WOS1,area WOS2,area WOS3,area WOS4,area WOS5,area WOS6,institución_trabaja,,,,,
55452369000,Carolina,Morales,,0,4,"0,0",,F,4,Ciencias Naturales,1,I2,Civil Engineering,Forestry and Wood Industry,Cultivation of Land, Horticulture,,,Universidad de Talca,,,,,
15761942100,César,Acevedo,Opazo,2,4,"50,0",,M,1,Ciencias agrícolas,4,I2,Cultivation of Land, Horticulture,Cultivation of Land, Horticulture,Cultivation of Land, Horticulture,Universidad de Talca,,,,,
25223032200,César,Huiliñir,Curio,2,4,"50,0",,M,3,Ingeniería y tecnología,2,I2,Chemical Process Engineering,,,,,,Universidad de Santiago de Chile,,,,,
52663151300,Claudio,Bravo,Lechuga,0,4,"0,0",,M,4,Ciencias Naturales,1,I2,Human Geography, Regional Geography, Regional Planning,Physics, Astronomy,,Centro de Estudios Científicos,,,,,
16303502900,Cristian,Escauriaza,Mesa,0,4,"0,0",,M,3,Ingeniería y tecnología,2,I2,Civil Engineering,Civil Engineering,--,,,,Pontificia Universidad Católica de Chile,,,,,
36987929000,Cristian,Frêne,,0,4,"0,0",,M,4,Ciencias Naturales,1,I2,Biology,Forestry and Wood Industry,Hydrology,,,,Instituto de Ecología y Biodiversidad,,,,,
14523781400,Héctor,Valdés,Morales,0,4,"0,0",s.i.,M,3,Ingeniería y tecnología,2,I2,Chemical Process Engineering,Chemical Process Engineering,,,,,Universidad Católica de la Santísima Concepción,,,,,
24385545900,Hernán,Alcayaga,Saldías,1,4,"25,0",FONDECYT,M,4,Ciencias Naturales,1,I2,Soil science,Civil Engineering,Hydrology,,,,Universidad Diego Portales,,,,,
7006719075,Jaime,Pizarro,Konczak,1,4,"25,0",,M,4,Ciencias Naturales,1,I2,Chemistry,Chemistry,,,,,Universidad de Santiago de Chile,,,,,
55329133700,Lina,Castro,,2,4,"50,0",,F,3,Ingeniería y tecnología,2,I2,Civil Engineering,Civil Engineering,--,,,,Pontificia Universidad Católica de Valparaíso,,,,,
23486588100,Marcelo,Olivares,Alveal,0,4,"0,0",,M,3,Ingeniería y tecnología,2,I2,Environmental Engineering,Civil Engineering,Environmental Engineering,,,,Universidad de Chile, Regional Geography,,,,
36727582800,Mauricio,Galleguillos,Torres,2,4,"50,0",,M,1,Ciencias agrícolas,4,I2,Biology,Biology,Cultivation of Land, Horticulture,Cultivation of Land, Horticulture,Universidad de Chile,,,,,
55840246700,Mauricio,Vera,,0,4,"0,0",,M,1,Ciencias agrícolas,4,I2,Forestry and Wood Industry,,,,,,Universidad de Talca,,,,,
55601794900,Mauricio,Zambrano,Bigiarini,0,4,"0,0",,M,3,Ingeniería y tecnología,2,I2,Civil Engineering,Environmental Engineering,,,,,Universidad de La Frontera,,,,,
7201466439,Raimund,Bürger,,2,4,"50,0",,M,4,Ciencias Naturales,1,I2,Mathematics,Mathematics,,,,,Universidad de Concepción,,,,,
7203008441,Rodrigo,Torres,,2,4,"50,0",,M,4,Ciencias Naturales,1,I2,Hydrology,Biology,Chemistry,,,,Centro de Investigación en Ecosistemas de la Patagonia,,,,,
56343347700,Alex,Schwarz,Kusch,2,3,"66,7",,M,3,Ingeniería y tecnología,2,I2,--,Civil Engineering,Civil Engineering,,,,Universidad de Concepción,,,,,
7403494719,Alfonso,Fernández,Rivera,1,3,"33,3",,M,4,Ciencias Naturales,1,I2,Hydrology,Human Geography, Regional Geography, Regional Planning,Human Geography, Regional Geography,Universidad de Concepción,,,,,
36503916100,Angel,Contreras,,0,3,"0,0",,M,4,Ciencias Naturales,1,I2,Biology,,,,,,Universidad Católica de Temuco,,,,,
26024618900,Camila,Álvarez,Garretón,1,3,"33,3",,M,4,Ciencias Naturales,1,I2,Hydrology,Civil Engineering,Hydrology,,,,Universidad de Chile,,,,,
56485555100,Carlos,Aguayo,,,3,"0,0",,M,1,Ciencias agrícolas,4,I2,Agriculture and Forestry, Fishery not elsewhere classified,,,,,Universidad Católica de Temuco,,,,,
23968182900,Carlos,Moffat,,1,3,"33,3",,M,4,Ciencias Naturales,1,I2,Physics, Astronomy,,,,,Universidad de Concepción,,,,,
6701733189,Carlos,Oyarzún,,,3,"0,0",,M,4,Ciencias Naturales,1,I2,--,--,Environmental Engineering,,,,Universidad Austral de Chile,,,,,
33568256900,Carlos,Poblete,Echeverría,2,3,"66,7",FONDECYT,M,1,Ciencias agrícolas,4,I2,Cultivation of Land, Horticulture,Cultivation of Land, Horticulture,,,Pontificia Universidad Católica de Valparaíso,,,,,
55918046800,Catalina,Plaza,de los Reyes,0,3,"0,0",,F,4,Ciencias Naturales,1,I2,Chemistry,Environmental Engineering,,,,,Universidad de Concepción,,,,,
7102094324,Christian,Herrera,Lameli,2,3,"66,7",,M,4,Ciencias Naturales,1,I2,Geology, Mineralogy,Hydrology,,,,Universidad Católica del Norte,,,,,
56149966500,Claudia,Sangüesa,Pool,1,3,"33,3",,F,3,Ingeniería y tecnología,2,I2,Cultivation of Land, Horticulture,Forestry and Wood Industry,Cultivation of Land, Horticulture,,Universidad de Talca,,,,,
6602258415,Claudio,Valdovinos,,1,3,"33,3",,M,4,Ciencias Naturales,1,I2,Biology,Biology,,,,,Universidad de Concepción,,,,,
55799699100,Eduardo,Salgado,Varas,0,3,"0,0",,M,1,Ciencias agrícolas,4,I2,Forestry and Wood Industry,Cultivation of Land, Horticulture,Cultivation of Land, Horticulture,,Pontificia Universidad Católica de Valparaíso,,,,,
6507637468,Francisco,Encina,,0,3,"0,0",,M,4,Ciencias Naturales,1,I2,Biology,Environmental Engineering,,,,,Universidad Católica de Temuco,,,,,
23989626900,Héctor,Valdés,Gómez,0,3,"0,0",s.i.,M,3,Ingeniería y tecnología,2,I2,Cultivation of Land, Horticulture,Cultivation of Land, Horticulture,Cultivation of Land, Horticulture,Pontificia Universidad Católica de Chile,,,,,
23568919100,Ignacio,Vargas,,2,3,"66,7",,M,3,Ingeniería y tecnología,2,I2,Civil Engineering,--,,,,,Pontificia Universidad Católica de Chile,,,,,
56595135700,Javier,Lozano,Parra,2,3,"66,7",,M,4,Ciencias Naturales,1,I2,Human Geography, Regional Geography, Regional Planning,Human Geography, Regional Geography, Regional Planning,Pontificia Universidad Católica de Chile,,,,,
15729555500,Jonathan,Barichivich,,0,3,"0,0",,M,3,Ingeniería y tecnología,2,I2,Environmental Engineering,,,,,,Universidad de Chile, Regional Geography,,,,
56255615400,Jonathan,Oberreuter,Álvarez,0,3,"0,0",,M,4,Ciencias Naturales,1,I2,Physics, Astronomy,Physics, Astronomy,,,Centro de Estudios Científicos,,,,,
56890618900,Luis,Morales,Salinas,1,3,"33,3",,M,4,Ciencias Naturales,1,I2,Physics, Astronomy,Physics, Astronomy,Environmental Engineering,,Universidad de Chile,,,,,
10437,Manuel,Contreras,Leiva,0,3,"0,0",,M,4,Ciencias Naturales,1,I2,--,Biology,Biology,,,,Centro de Ecología Aplicada,,,,,
8656341200,María,Mardones,Flores,1,3,"33,3",,F,4,Ciencias Naturales,1,I2,Human Geography, Regional Geography, Regional Planning,Human Geography, Regional Geography, Regional Planning,Universidad de Concepción,,,,,
25222233500,María,Yeber,,3,3,"100,0",,F,4,Ciencias Naturales,1,I2,Environmental Engineering,,,,,,Universidad Católica de la Santísima Concepción,,,,,
23007915900,Mauricio,Aguayo,Arias,0,3,"0,0",FONDECYT,M,1,Ciencias agrícolas,4,I2,Forestry and Wood Industry,Environmental Engineering,,,,,Universidad de Concepción,,,,,
6603850393,Patricio,Aceituno,,1,3,"33,3",,M,3,Ingeniería y tecnología,2,I2,Electrical Engineering, Electronics, Information Engineering,Meteorology, Climatology,,Universidad de Chile,,,,,
7005998792,Paulina,Montero,,0,3,"0,0",,F,1,Ciencias agrícolas,4,I2,Agriculture and Forestry, Fishery,Hydrology,,,,Centro de Investigación en Ecosistemas de la Patagonia,,,,,
15047931600,Paulo,Herrera,Ricci,1,3,"33,3",,M,3,Ingeniería y tecnología,2,I2,Civil Engineering,Civil Engineering,Geology, Mineralogy,,,Universidad de Chile,,,,,
55454216700,Roberto,Fuentes,Lagos,0,3,"0,0",,M,4,Ciencias Naturales,1,I2,Forestry and Wood Industry,,,,,,Universidad de Talca,,,,,
14047837000,Rodrigo,Cienfuegos,Carrasco,0,3,"0,0",,M,3,Ingeniería y tecnología,2,I2,Civil Engineering,Soil science,,,,,Centro Nacional de Investigación para la Gestión Integrada de Desastres Naturales,,,,,
55179443800,Rodrigo,Vargas,Rona,0,3,"0,0",,M,4,Ciencias Naturales,1,I2,Human Geography, Regional Geography, Regional Planning,,,,Universidad de Chile,,,,,
6701371309,Silvio,Montalvo,Martínez,0,3,"0,0",,M,3,Ingeniería y tecnología,2,I2,Chemical Process Engineering,Chemical Process Engineering,,,,,Universidad de Santiago de Chile,,,,,
24178530600,Tatiana,Izquierdo,,2,3,"66,7",,F,4,Ciencias Naturales,1,I2,Environmental Engineering,Environmental Engineering,Hydrology,,,,Universidad de Atacama,,,,,
57188763528,Víctor,Campos,Araneda,0,3,"0,0",,M,4,Ciencias Naturales,1,I2,Biology,Biology,Environmental Engineering,,,,Universidad de Concepción,,,,,
23481970600,Alex,Godoy,Faúndez,1,2,"50,0",,M,4,Ciencias Naturales,1,I2,Chemical Process Engineering,Biology,Chemical Process Engineering,,,,Universidad del Desarrollo,,,,,
25633679100,Andrew ,Harris,,0,2,"0,0",,M,3,Ingeniería y tecnología,2,I2,Architecture,Architecture,,,,,Universidad Diego Portales,,,,,
16219919500,Ariel,Muñoz,Navarro,0,2,"0,0",,M,4,Ciencias Naturales,1,I2,Agriculture and Forestry, Fishery not elsewhere classified,Forestry and Wood Industry,Forestry and Wood Industry,,,Pontificia Universidad Católica de Valparaíso,,,,,
56252675000,Carolina,Martínez,Reyes,1,2,"50,0",,F,4,Ciencias Naturales,1,I2,Human Geography, Regional Geography, Regional Planning,--,Human Geography, Regional Geography,Pontificia Universidad Católica de Chile,,,,,
23493009900,Christian,Little,,2,2,"100,0",,M,1,Ciencias agrícolas,4,I2,Forestry and Wood Industry,Forestry and Wood Industry,Forestry and Wood Industry,,,,Ministerio de Agricultura,,,,,
9234303900,Cristian,Youlton,,1,2,"50,0",,M,1,Ciencias agrícolas,4,I2,Cultivation of Land, Horticulture,Cultivation of Land, Horticulture,Biology,Civil Engineering,Pontificia Universidad Católica de Valparaíso,,,,,
36084443400,David,Figueroa,,1,2,"50,0",,M,4,Ciencias Naturales,1,I2,Biology,Biology,Biology,,,,Universidad Católica de Temuco,,,,,
56058914100,Emilio,De la Jara,,0,2,"0,0",,M,1,Ciencias agrícolas,4,I2,Cultivation of Land, Horticulture,Cultivation of Land, Horticulture,,,Universidad de Los Andes,,,,,
8691556200,Gabriel,Mancilla,,0,2,"0,0",,M,1,Ciencias agrícolas,4,I2,--,Forestry and Wood Industry,Forestry and Wood Industry,,,,Centro del Agua para Zonas Áridas de América Latina y el Caribe,,,,,
6701747302,Giovanni,Daneri,,0,2,"0,0",,M,4,Ciencias Naturales,1,I2,Hydrology,Hydrology,,,,,Centro de Investigación en Ecosistemas de la Patagonia,,,,,
23477798300,Gustavo,Lobos,Prats,0,2,"0,0",,M,1,Ciencias agrícolas,4,I2,Cultivation of Land, Horticulture,Cultivation of Land, Horticulture,,,Universidad de Talca,,,,,
7403157315,Jonathan,Barton,,0,2,"0,0",,M,2,Ciencias sociales,5,I2,History, Archaeology,Human Geography, Regional Geography, Regional Planning,Economics,Pontificia Universidad Católica de Chile,,,,,
7003372165,José,Rutllant,Costa,0,2,"0,0",,M,4,Ciencias Naturales,1,I2,Physics, Astronomy,Electrical Engineering, Electronics, Information Engineering,Meteorology,Universidad de Chile,,,,,
56436934400,Manuel,Soto,Benavides,0,2,"0,0",,M,1,Ciencias agrícolas,4,I2,Forestry and Wood Industry,,,,,,Centro del Agua para Zonas Áridas de América Latina y el Caribe,,,,,
6603754497,María Angélica,Mondaca,Jara,0,2,"0,0",,F,4,Ciencias Naturales,1,I2,Chemistry,Biology,,,,,Universidad de Concepción,,,,,
