codigo_proyecto,institucion financiante,programa,Instrumento,anio,nombre_proyecto,estado,Investigador,tipo_participación,institucion ejecutora,id institucion,tipo_participacion,region(es)_ejecución,region(es)_ejecución_rec,Taxonomia FIA,Taxonomia Cameron,Taxonomia_CORFO,Taxonomia Sector Aplicacion (propia),objetivos,objetivos_especificos
16SUP-59176,CORFO,EMPRENDIMIENTO,STARTUP (E),2016,LIVN SMART IRRIGATION SERVICES,,,,JUAN PABLO SANTA MARÍA RILLÓN,Persona Natural,ASOCIADO,,,,,,2,,
16SUP-59176,CORFO,EMPRENDIMIENTO,STARTUP (E),2016,LIVN SMART IRRIGATION SERVICES,,,,MICHELE GIUSEPPE PIO D'APOTE TUPPER,Persona Natural,ASOCIADO,,,,,,2,,
16SUP-59452,CORFO,EMPRENDIMIENTO,STARTUP (E),2016,WATERLESS WC (WWC),,,,FERNANDO YANINE MISLEH,Persona Natural,BENEFICIARIA / DESARROLLADOR,,,,,,5,,
16TSF-61501,CORFO,EMPRENDIMIENTO,TheSFactory,2016,sLAB “Technology for Agricultural Soil Protection”,,,,ANA CAROLINA  CASTRO CASTAÑEDA,Persona Natural,BENEFICIARIA / DESARROLLADOR,,,,,,2,,
16VEIPE-65038,CORFO,INNOVACION EMPRESARIAL,Línea 2: Validación y Empaquetamiento de Innovaciones - Programa de Innovación e I+D Empresarial para Sectores Estratégicos de Alto Impacto,2016,BCRISK – HERRAMIENTA DE ANÁLISIS DE RIESGO DE AGUA/BARRO PARA LA PLANIFICACIÓN MINERA,,,,BCTEC INGENIERÍA Y TECNOLOGÍA SPA,1270,BENEFICIARIA / DESARROLLADOR,,,,,,6,,
16VIP-58539,CORFO,INNOVACION EMPRESARIAL,PROGRAMA DE VINCULACION EMPRESA - ENTIDADES PROVEEDORAS DE CONOCIMIENTO: VOUCHER DE INNOVACIÓN.,2016,DESARROLLO DE SOLUCIÓN DE ENERGÍA ALTERNATIVA FOTOVOLTAICA PARA LA PROVISIÓN DE AGUA PURIFICADA,,,,Fresh Water,1291,BENEFICIARIA / DESARROLLADOR,,,,,,5,,
16VIP-58545,CORFO,INNOVACION EMPRESARIAL,PROGRAMA DE VINCULACION EMPRESA - ENTIDADES PROVEEDORAS DE CONOCIMIENTO: VOUCHER DE INNOVACIÓN.,2016,"DESARROLLO DE UN MODELO DE TURISMO SUSTENTABLE PARA LOS HOTELES URBANOS QUE MEJORE Y OPTIMICE LOS PROCESOS DE PRODUCCIÓN Y CONSUMO DE ENERGÍA ELÉCTRICA, AIRE FRÍO, Y AGUA CALIENTE Y FRÍA.",,,,LOYOLA Y COMPANIA LIMITADA,7968,BENEFICIARIA / DESARROLLADOR,,,,,,7,,
78102003,CONICYT,PAI,INSERCIÓN SECTOR PRODUCTIVO,2010,IMPULSO DEL AREA BIOTECNOLOGICA EN EL SECTOR MINERO Y ACUICOLA DE LA REGION DE ANTOFAGASTA MEDIANTE LA INSERCION DE DOCTORADOS A LA EMPRESA AGUAMARINA S.A.,,RAÚL CALDERÓN,Investigador Principal,Aguamarina SPA,1275,BENEFICIARIA / DESARROLLADOR,,,,6,,6,,
781202011,CONICYT,PAI,INSERCIÓN SECTOR PRODUCTIVO,2012,ESTACION PILOTO PARA MONITOREO DE CAMBIO CLIMATICO,,FRANCISCO MORENO HERRERA,Investigador Principal,CENTRO MARIO MOLINA PARA ESTUDIOS ESTRATÉGICOS SOBRE ENERGÍA Y MEDIOAMBIENTE CHILE LTDA.,25003,BENEFICIARIA / DESARROLLADOR,,,,7,,8,,
7812110015,CONICYT,PAI,TESIS DE DOCTORADO EN LA INDUSTRIA,2012,"ESTUDIO PARA LA BIORREMEDIACION DE LOS DRENAJES ACIDOS DE MINA (DAM) MEDIANTE CRISTALIZACION, UTILIZANDO EL BACILLUS PASTEURII",,PAMELA GUTIÉRREZ SALDAÑO,Investigador Principal,Universidad de Antofagasta,116,BENEFICIARIA / DESARROLLADOR,,,,6,,6,,
781301006,CONICYT,PAI,INSERCIÓN SECTOR PRODUCTIVO,2013,DESARROLLO Y APLICACION DE BIOPOLIMEROS PARA LA REMOCION DE ESPECIES CONTAMINANTES DE AGUAS RESIDUALES,,ELIZABETH ELGUETA HERRERA,Investigador Principal,"Centro de investigación polímeros avanzados, CIPA",7868,BENEFICIARIA / DESARROLLADOR,,,,6,,5,,
781301007,CONICYT,PAI,INSERCIÓN SECTOR PRODUCTIVO,2013,SISTEMA INTEGRADO DE HERRAMIENTAS DENDROCRONOLOGICAS Y QUIMICAS APLICADO AL ESTUDIO DE LA  CALIDAD DE AIRE Y DISPONIBILIDAD HIDRICA PARA LA GENERACION DE ENERGIA EN ZONAS MINERO-ENERGETICAS,,ARIEL MUÑOZ NAVARRO,Investigador Principal,CENTRO DE TECNOLOGÍAS AMBIENTALES (CETAM-UTFSM),240,BENEFICIARIA / DESARROLLADOR,,,,6,,9,,
